product,license number,ecolabel,category,product group,criteria generation,brand,licensee,address,city,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
"Landora RUS Väggfärg Premium V, vit/bas A, 9,0 l","SE/044/006, SE/044/006",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Landora,Hagmans Nordic AB (Fritsla),Box 112,Fritsla,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,28
"Flügger Perform 10 Base 3, 2,8 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,29
Flügger 06 Wood Tex Base 4,"3096 0048, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,30
"Flügger Flutex 7S Råvit S0500-N, 120 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,31
"LADY Iconic base A, B, C og hvit","2096 0002, 2096 0002",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Jotun Lady,Jotun A/S,Postboks 2021,Sandefjord,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,32
"Clas Ohlson Väggfärg 7 Mountain Rock, 3 l","SE/044/007, SE/044/007",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Clas Ohlson,Clas Ohlson AB,Clas Ohlsons väg,INSJÖN,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,33
"CELLO FEEL Helmatt interiörfärg BAS1, 0,9 l",4096 0019,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Cello,Kesko Oyj,Työpajankatu 12,KESKO,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,34
"Nordic Chic Furniture Paint, Olive, 750ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,35
"Clas Ohlson Gloss Paint 80 Aged White High Gloss, 0,75 l","SE/044/007, SE/044/007",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Clas Ohlson,Clas Ohlson AB,Clas Ohlsons väg,INSJÖN,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,36
Lycke Väggfärg Matt,"4096 0027, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Lycke - Skönhet för alla hem,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,37
